category,check,severity,description
bugs,null-access,critical,"Potential null/undefined property access without guard"
bugs,off-by-one,critical,"Array index or loop boundary off by one"
bugs,uncaught-async,critical,"Async function without try/catch or .catch()"
bugs,resource-leak,critical,"Opened resource (file handle, connection, timer) not closed/cleared"
bugs,race-condition,high,"Concurrent access to shared state without synchronization"
bugs,type-mismatch,high,"TypeScript type assertion hiding potential runtime error"
edge-cases,empty-input,high,"No handling for empty string, empty array, null, or undefined input"
edge-cases,boundary-values,high,"Missing check for zero, negative, MAX_SAFE_INTEGER, or overflow"
edge-cases,concurrent-access,high,"Multiple callers accessing same resource simultaneously"
edge-cases,network-failure,medium,"No timeout, retry, or error handling for network calls"
edge-cases,partial-failure,medium,"Transaction or batch operation partially fails — inconsistent state"
quality,missing-tests,medium,"New functionality without corresponding test coverage"
quality,error-message,low,"Error caught but message is unhelpful or missing context"
quality,naming,low,"Variable/function name doesn't clearly describe purpose"
quality,dead-code,low,"Unreachable code, unused imports, or commented-out blocks"
security,injection,critical,"User input used in shell commands, SQL, or eval without sanitization"
security,secrets,critical,"API keys, tokens, or passwords in source code"
security,path-traversal,high,"User-controlled path without validation (../../../etc/passwd)"
security,xss,high,"User input rendered in HTML without escaping"
